Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Paraguay,2022-01-11 08:21:10,-23.4425,-58.4438,475686,16670,,,6669.246396439973,,,3.5044125746816177,600,PRY,11858,157
Peru,2022-01-11 08:21:10,-9.19,-75.0152,2375813,203067,,,7205.5807854980285,,,8.547263610393577,604,PER,121440,1297
Philippines,2022-01-11 08:21:10,12.879721,121.774017,2998530,52293,,,2736.35728282851,,,1.7439545377234844,608,PHL,161727,1952
Poland,2022-01-11 08:21:10,51.9194,19.1451,4220984,99761,,,11152.873553651641,,,2.36345364019385,616,POL,381359,11253
Portugal,2022-01-10 23:22:22,39.3999,-8.2245,1499976,19029,,,14710.396209285998,,,1.2686202979247667,620,PRT,303374,356
Qatar,2022-01-11 08:21:10,25.3548,51.1839,274529,619,,,9528.749835130126,,,0.2254770898520739,634,QAT,29006,6
Romania,2022-01-11 08:21:10,45.9432,24.9668,1848641,59027,,,9609.478938262935,,,3.1929942049321633,642,ROU,54998,1286
Russia,2022-01-11 08:21:10,61.524,105.3188,10485705,310513,,,7185.215198658357,,,2.9612982627300686,643,RUS,614476,25604
Rwanda,2022-01-11 08:21:10,-1.9403,29.8739,121742,1384,,,939.9323312340003,,,1.1368303461418408,646,RWA,21108,40
Saint Kitts and Nevis,2022-01-11 08:21:10,17.357822,-62.782998,4216,28,,,7926.0039103624595,,,0.6641366223908919,659,KNA,1420,0
Saint Lucia,2022-01-11 08:21:10,13.9094,-60.9789,15101,306,,,8223.646591769273,,,2.026355870472154,662,LCA,2003,23
Saint Vincent and the Grenadines,2022-01-11 08:21:10,12.9843,-61.2872,6247,84,,,5630.616420453009,,,1.3446454298063073,670,VCT,525,7
Samoa,2022-01-11 08:21:10,-13.759,-172.1046,3,0,,,1.5295977158007443,,,0.0,882,WSM,0,0
San Marino,2022-01-11 08:21:10,43.9424,12.4578,9518,103,,,28045.259001709,,,1.08216011767178,674,SMR,3054,9
Sao Tome and Principe,2022-01-11 08:21:10,0.1864,6.6131,4916,63,,,2243.099821592345,,,1.2815296989422291,678,STP,1183,6
Saudi Arabia,2022-01-11 08:21:10,23.885942,45.079162,583531,8895,,,1676.145313015644,,,1.524340609153584,682,SAU,33227,40
Senegal,2022-01-11 08:21:10,14.4974,-14.4524,79766,1899,,,476.3875625375882,,,2.380713587242685,686,SEN,5674,13
Serbia,2022-01-11 08:21:10,44.0165,21.0059,1359544,12936,,,15560.105615305292,,,0.9514955014328332,688,SRB,84330,727
Seychelles,2022-01-11 08:21:10,-4.6796,55.492,29030,134,,,29520.03254016677,,,0.4615914571133311,690,SYC,5129,5
Sierra Leone,2022-01-11 08:21:10,8.460555000000001,-11.779889,7454,125,,,93.44382620752077,,,1.6769519720955193,694,SLE,1032,4
Singapore,2022-01-11 08:21:10,1.2833,103.8333,286397,838,,,4895.388184932063,,,0.29260083031596,702,SGP,12696,40
Slovakia,2022-01-11 08:21:10,48.669,19.699,1398557,16989,,,25616.271979688052,,,1.2147520623042178,703,SVK,109305,1574
Slovenia,2022-01-11 08:21:10,46.1512,14.9955,493289,5662,,,23728.000723448386,,,1.1478058501203148,705,SVN,52656,237
Solomon Islands,2022-01-11 08:21:10,-9.6457,160.1562,28,0,,,4.28883463172696,,,0.0,90,SLB,8,0
